filename,chroma_stft,rmse,spectral_centroid,spectral_bandwidth,rolloff,zero_crossing_rate,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,mfcc20,ValueExtraversion,ValueAgreeableness,ValueConscientiousness,ValueNeurotisicm,ValueOpenness
o_kTWEEjtyw.003,0.3103107779408211,0.0631401464343071,1970.8866171803247,2303.4733357771647,4071.91445053808,0.06808936516970199,-272.13902165727507,102.575570588852,7.021358475449537,27.153791883429452,9.116714491641543,-12.413968358825052,2.5451212245444883,3.408978180107695,-24.932069844811892,-4.127699649475898,-12.91914051312014,0.22414470159333785,6.036142377228577,-7.9993149933138525,-4.616371016908454,7.67902633314867,-9.818960236325438,-2.054346370131897,-7.702830774028666,-4.2442850608272416,0.18691588785046728,0.2747252747252747,0.3398058252427185,0.1666666666666666,0.26666666666666666
dLaqub4BEsA.003,0.3465185268791455,0.08749069273471832,1812.0334136599133,1571.3737526053196,3162.386175496689,0.1201915614652318,-235.5406406020617,127.92820137274904,-46.3075133770086,30.302661929241506,-3.609604643103016,-8.354078478587477,-9.044954175778603,-7.3779019098417695,-6.707127794193433,-10.835766992202714,-10.649732271316527,-2.2013929871127447,-0.026356498426447748,-6.018740374979634,-3.1398868644695748,-1.0572211345839444,1.9953885753760472,1.3539543758269157,-4.106421807260324,-3.2456043030187516,0.6074766355140188,0.7472527472527474,0.6601941747572816,0.6770833333333334,0.6222222222222222
vOxgWKGNEYc.000,0.3270764403404364,0.01725013740360737,1814.2777936612827,2007.6067807351346,3551.9089856684614,0.09007333919701986,-395.2516372468305,129.51713050077134,10.285766725721775,12.662747282120321,-12.390299592597964,-8.912502621238236,-5.159952141154264,-10.060532121905263,-17.483252962039955,-4.93313743648492,-6.346008150665113,-0.3960080095350471,-8.79406286305986,0.595689555993608,-5.035413723792284,1.9001307434405528,-4.368826583246442,2.3539231973294186,-2.273501639772164,-0.2764391553366249,0.3644859813084113,0.5604395604395604,0.6893203883495147,0.6666666666666667,0.6222222222222222
HCkDd0UnUgo.004,0.3160435112960718,0.02988954819738865,2554.905243022984,2278.2627024122794,4551.170824063534,0.14940597837334438,-295.59766959472137,86.20660833331787,-15.851785823073337,-1.61752214925547,-5.18783961628455,-15.748269044077626,-11.178086416574924,-16.129846858033257,-12.27632877375952,-1.2606200846194069,-9.283955618504855,-4.866300594591183,-10.255643311381078,0.19576559760914805,-7.144898489990909,-6.959896638682951,-7.674698678316482,-2.346558912192476,-10.984298671627474,-2.181430979683559,0.3644859813084113,0.6153846153846153,0.7281553398058251,0.5416666666666666,0.4555555555555556
OZlpENU9h28.002,0.3831122502885467,0.085183285176754,1986.6033293999185,1799.0956841416416,3554.7610655525664,0.12277039786837747,-232.1382457762212,116.2085519343718,-22.54986139346849,18.583333086260453,8.310990373361166,5.963782252770934,-3.5022242162309016,-9.775975811701473,-17.928030831543406,-4.900127187690532,-10.14681311940307,-5.850260790992334,-3.087553047557204,-4.298058750264826,-9.17979946346444,-2.5590242799472263,-4.497510967262472,3.1127263725968124,-1.9598708474470343,-3.8075680450167484,0.42056074766355134,0.7032967032967032,0.4077669902912622,0.4895833333333333,0.6444444444444444
3gKpBq-1yG4.004,0.4002764846455316,0.050745002925395966,1641.5120220756023,1773.5513936588395,2970.5481522920118,0.0885098691018212,-279.84061014544704,135.5329235325957,-5.2434261309812005,29.1990796430445,8.444697920578951,11.294366859985475,-8.599174713911312,-7.897657164933379,-8.832698566205497,7.489585322017358,-7.378439966397821,1.9574694434311075,-4.679045944860092,-6.6479751949045225,-0.7567576862634765,-9.250696640926176,-5.227738383924051,1.0647335426367206,-3.200208117027213,2.2354988541083376,0.5700934579439253,0.6483516483516484,0.5631067961165048,0.4583333333333334,0.4666666666666666
AWZLchLstio.003,0.33234380091041466,0.09772041440010072,2971.9151577585944,1670.7068968407702,4678.516190888866,0.22281793253311252,-250.57349839166022,72.32462752093875,-29.82030417756457,40.39172329022153,-41.5682618649277,-0.00572778256783303,2.5355153832239377,-16.42853658371107,-3.817503057517481,-5.499457084497776,-13.622003138651376,-6.669654882761196,-0.6024199586726504,-3.9416301882104934,-6.9066060583308735,-10.914146416815727,-6.15621384542886,-7.105457949021182,-6.499054947084883,-1.1579970572397935,0.5514018691588786,0.7802197802197802,0.6990291262135921,0.7083333333333334,0.8111111111111109
PReOtefm17s.002,0.3741023317226101,0.10236359387636183,2629.716563861185,2315.9306876622863,4664.861858443709,0.1220767798013245,-154.4412881559021,82.69180044268249,-18.301767928823672,19.348948779803095,1.0728751938019827,-5.454028393580459,4.0910241183587965,-3.514002299660234,-1.8563323349648544,6.621402996898216,-2.1880925047019404,10.137445113039806,1.0263396022104074,1.7715384539656396,8.518785744617572,12.533711694917688,-6.9571950281196,18.58018155275237,-7.0079598305393125,7.168887166975849,0.5233644859813085,0.6373626373626373,0.5533980582524272,0.6875,0.5777777777777777
IHJn3UHXCMs.004,0.4194148237374768,0.029649602249264717,2337.146447427734,2279.414843338804,4440.2605675703635,0.1271034897557947,-286.8768680638946,78.39069938510136,-13.343571048894539,47.28234966862713,21.991883739708037,4.099035134867323,-2.5161134595645827,-2.4695052299788123,-10.463033062946113,3.7990188416348736,-4.342104753752484,3.1942300432087505,-3.7947729891415496,1.3262596408304288,-6.738474609073188,-0.692132145750794,-3.4623311254554525,-3.974918340020517,-3.8314106951187714,-4.377449356216069,0.2336448598130841,0.3516483516483516,0.36893203883495146,0.28125,0.4222222222222223
iAgu-wDe2MQ.000,0.32598641593429645,0.08420374989509583,1428.859467156193,1410.8661461320166,2566.2658287199915,0.0818242963576159,-235.13389027115002,154.45727828066686,-44.4272323613617,35.454618235375264,8.30742859029604,-15.507116818981428,-13.804524202423801,-5.001543170309967,8.370742893749746,-8.309697661766306,-2.1019240750104005,-3.4006351539889565,4.382392843496293,5.172954162345485,3.3835463660377743,-2.2084235861466497,-2.8292928121413667,-3.5619335311192364,-6.743458942983503,0.08954111277317961,0.588785046728972,0.5274725274725274,0.3786407766990291,0.4166666666666666,0.5666666666666667
